Fascia;Zona;Zona_Descr;Descr_Tipologia;Stato;Compr_min;Compr_max;Loc_min;Loc_max
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Abitazioni civili;OTTIMO;9100;12300;29;37
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Abitazioni civili;NORMALE;7400;8900;23;29
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Abitazioni di tipo economico;NORMALE;6400;7700;18.5;22
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Abitazioni di tipo economico;OTTIMO;7800;8800;24;30
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Abitazioni signorili;OTTIMO;11300;14300;38.5;46
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Box;NORMALE;4700;6600;14.5;21.5
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Magazzini;NORMALE;2550;3300;14;18
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Negozi;OTTIMO;15200;21600;79.2;121
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Negozi;NORMALE;8900;12400;41;56
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Uffici;OTTIMO;6500;8200;24;33
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Uffici strutturati;OTTIMO;6600;9300;29.5;42.8
B;B12;DUOMO, SANBABILA, MONTENAPOLEONE, MISSORI, CAIROLI;Laboratori;NORMALE;2800;3300;15;20.5
B;B13;UNIVERSITA STATALE, SAN LORENZO;Abitazioni civili;OTTIMO;6900;8200;19.5;27.3
B;B13;UNIVERSITA STATALE, SAN LORENZO;Abitazioni civili;NORMALE;5100;6800;15;17.8
B;B13;UNIVERSITA STATALE, SAN LORENZO;Abitazioni di tipo economico;NORMALE;4100;5000;13;16.3
B;B13;UNIVERSITA STATALE, SAN LORENZO;Abitazioni di tipo economico;OTTIMO;5100;6400;17;19.3
B;B13;UNIVERSITA STATALE, SAN LORENZO;Abitazioni signorili;OTTIMO;7700;9400;23.9;29
B;B13;UNIVERSITA STATALE, SAN LORENZO;Box;NORMALE;3300;4500;10.5;15.5
B;B13;UNIVERSITA STATALE, SAN LORENZO;Magazzini;NORMALE;1700;2300;10;13
B;B13;UNIVERSITA STATALE, SAN LORENZO;Negozi;OTTIMO;5400;7400;29.5;40.8
B;B13;UNIVERSITA STATALE, SAN LORENZO;Negozi;NORMALE;3700;5300;19;27.7
B;B13;UNIVERSITA STATALE, SAN LORENZO;Uffici;OTTIMO;4400;5400;19;23.9
B;B13;UNIVERSITA STATALE, SAN LORENZO;Uffici strutturati;OTTIMO;4600;6100;20.6;27.9
B;B13;UNIVERSITA STATALE, SAN LORENZO;Laboratori;NORMALE;2200;2600;11.7;14.7
B;B15; BRERA;Abitazioni civili;OTTIMO;8100;10200;21.8;28.8
B;B15; BRERA;Abitazioni civili;NORMALE;6500;8000;18.6;21.8
B;B15; BRERA;Abitazioni di tipo economico;NORMALE;6000;6600;17;20.3
B;B15; BRERA;Abitazioni di tipo economico;OTTIMO;6700;8000;20.8;24.3
B;B15; BRERA;Abitazioni signorili;OTTIMO;10000;12400;32.2;38.6
B;B15; BRERA;Box;NORMALE;3500;5200;11.5;15.5
B;B15; BRERA;Magazzini;NORMALE;1400;2000;7;10.5
B;B15; BRERA;Negozi;OTTIMO;6500;8500;30;43.7
B;B15; BRERA;Negozi;NORMALE;4500;6500;20;28.4
B;B15; BRERA;Uffici;OTTIMO;3900;4700;17.3;23.4
B;B15; BRERA;Uffici strutturati;OTTIMO;4700;6000;21;27
B;B15; BRERA;Laboratori;NORMALE;2500;3100;11;14
B;B16;SANT`AMBROGIO, CADORNA, VIA DANTE;Abitazioni civili;OTTIMO;7800;9200;21.3;25.9
B;B16;SANT`AMBROGIO, CADORNA, VIA DANTE;Abitazioni civili;NORMALE;5900;7800;18.4;21.2
B;B16;SANT`AMBROGIO, CADORNA, VIA DANTE;Abitazioni di tipo economico;NORMALE;5500;6000;16;18.2
B;B16;SANT`AMBROGIO, CADORNA, VIA DANTE;Abitazioni di tipo economico;OTTIMO;6100;7600;18.3;21.3
B;B16;SANT`AMBROGIO, CADORNA, VIA DANTE;Abitazioni signorili;OTTIMO;9100;10900;26;36
B;B16;SANT`AMBROGIO, CADORNA, VIA DANTE;Box;NORMALE;3800;5100;12.5;17
